Borough,Neighborhood,ID,Name
Bronx,Woodlawn,4dc5d0b47d8b14fb463525e9,Accent Thai
Bronx,Parkchester,5585c948498e0bd8a8a706f1,Thai Cuisine
Bronx,Van Nest,5585c948498e0bd8a8a706f1,Thai Cuisine
Bronx,North Riverdale,4dc5d0b47d8b14fb463525e9,Accent Thai
Bronx,Pelham Bay,4b4c90d3f964a52046b626e3,Honey's Thai Pavilion
Brooklyn,Crown Heights,596ffbcadee77066f36be772,Ruammit Thai
Brooklyn,Kensington,54daa265498e58e310cae373,Sawasde Thai Cooking
Brooklyn,Kensington,5bbf7c31418686002c49a6a1,Thai Farm Kitchen
Brooklyn,Kensington,4b36a0f5f964a5207b3925e3,To Be Thai
Brooklyn,Prospect Heights,57117904498eea6297e41d0a,Muse
Brooklyn,Brooklyn Heights,476f8da1f964a520044d1fe3,Lantern Thai Kitchen
Brooklyn,Carroll Gardens,59985da3da5e5606a926b53d,Ugly Baby
Brooklyn,Carroll Gardens,5a959bf0646e38268740806b,Boran
Brooklyn,Gowanus,59985da3da5e5606a926b53d,Ugly Baby
Brooklyn,Gowanus,5a959bf0646e38268740806b,Boran
Brooklyn,Clinton Hill,54ea1fc3498e51bac940c79e,Thaiholic
Brooklyn,Clinton Hill,4a709d9ff964a520f6d71fe3,Thai 101
Brooklyn,Downtown,5c56083dc58ed7002c3255d0,Charm Kao
Brooklyn,Boerum Hill,5c56083dc58ed7002c3255d0,Charm Kao
Brooklyn,Prospect Lefferts Gardens,5d4f31a92ada380008a49b7f,Amy Thai Bistro
Manhattan,Chinatown,5cc4e9d0c876c8002c3010cb,Wayla
Manhattan,East Harlem,55a85a66498e68da40bc7212,Malii
Manhattan,East Harlem,5a68fb506336be407ef635ab,Bangklyn East Harlem
Manhattan,East Harlem,5303fc3c11d250deaaf46b56,Absolute Thai Restaurant
Manhattan,Yorkville,57f81d9e498e82d3766ccce8,PuTawn Local Thai Kitchen
Manhattan,Lenox Hill,52be229211d2aabfe6f24d20,Up Thai
Manhattan,Lenox Hill,5997796d603d2a7019b8c58e,THEP Thai Restaurant
Manhattan,Upper West Side,42951180f964a52045241fe3,Land Thai Kitchen
Manhattan,Little Italy,5e46e2ec5791a10008c55728,Thai Diner
Manhattan,Little Italy,516863b1011ca6684e37a88f,Uncle Boons
Manhattan,Manhattan Valley,49dfbfabf964a52009611fe3,Thai Market
Queens,Woodside,3fd66200f964a5204ef11ee3,SriPraPhai
Queens,Woodside,4a7f6626f964a520e8f31fe3,Thailand's Center Point
Queens,Woodside,4bedd3e8a40fc928d193820c,Sweet Basil Thai
Queens,Woodside,57608fb1498e9796802dc2b4,Jaew Hon
Queens,Jackson Heights,5424a7a2498ec9a9cdb36746,Black Thai
Queens,Jackson Heights,560f2343498e6d1819390cb4,Sompong Thai
Queens,Elmhurst,52f693e6498ed9d2a3fbad75,Eim Khao Mun Kai Elmhurst อิ่ม ข้าวมันไก่เอ็มเฮิสท์
Queens,Elmhurst,5abad6379de23b5eeb077b04,Lamoon
Queens,Elmhurst,56e210f7cd102122a9fb1d1b,Dek Sen
Queens,Elmhurst,4ad5173cf964a520c90121e3,Chao Thai ร้านชาวไทย
Queens,Elmhurst,4b26f895f964a5209d8324e3,Ayada Thai
Queens,Elmhurst,593f6541123a19687791b390,Hug Esan NYC
Queens,Elmhurst,531372e9498ebd3be2888afc,Khao Kang ข้าวแกง
Queens,Elmhurst,4ad15d63f964a5203ede20e3,Spicy Shallot
Queens,Elmhurst,53af884e498e0a4a4943f670,Kitchen 79
Queens,Forest Hills,46b1ef0df964a520a0491fe3,Bangkok Cuisine
Queens,South Ozone Park,505e482fe4b0ad0a3ed7c2e8,Nanking Asian fusion
Queens,Bayside,4b799160f964a52001022fe3,Erawan Thai Cuisine
Queens,Auburndale,49fdbd6cf964a520256f1fe3,BKNY Thai Restaurant
Queens,Little Neck,548101bd498ea6af4be43c86,Krung Tep
Queens,Fresh Meadows,5ae3a6fda30619002c1490a9,Kin'd Thai
Queens,Hollis,5ae3a6fda30619002c1490a9,Kin'd Thai
Queens,Rochdale,505e482fe4b0ad0a3ed7c2e8,Nanking Asian fusion
Queens,Holliswood,5ae3a6fda30619002c1490a9,Kin'd Thai
Queens,Forest Hills Gardens,46b1ef0df964a520a0491fe3,Bangkok Cuisine
Staten Island,Port Richmond,4b7c698af964a520bc912fe3,Forest Thai Cuisine
Staten Island,Mariner's Harbor,4b7c698af964a520bc912fe3,Forest Thai Cuisine
Staten Island,Westerleigh,4b7c698af964a520bc912fe3,Forest Thai Cuisine
Staten Island,Bulls Head,51734440e4b093690645e66b,Empire East Richmond Ave
Staten Island,Elm Park,4b7c698af964a520bc912fe3,Forest Thai Cuisine
Queens,Jamaica Hills,51cd0030498e1874e3954776,Amina Thai
Manhattan,Sutton Place,4b19ae35f964a520d9e123e3,Luscious Thai
Queens,Hunters Point,49cfd074f964a520ce5a1fe3,Tuk Tuk
Manhattan,Turtle Bay,548cb1a2498e7cd8fd9f98ce,Herbs Thai Bistro
Manhattan,Tudor City,5424bb1b498ecea0c85b6b43,Lan Larb Midtown
